type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,1/25/2024 6:04,24.85068333,67.00507833,1.5,1.7,,1.233,124,21,37,,
T,1/25/2024 6:04,24.850675,67.00508667,1.5,1.4,,1.253,133,21,37,,
T,1/25/2024 6:04,24.85066667,67.005095,1.5,1.2,,1.257,140,20,37,,
T,1/25/2024 6:04,24.85066,67.00509833,1.5,1.2,,1.233,154,21,36,,
T,1/25/2024 6:04,24.85065167,67.00510167,1.5,1,,1.241,157,21,36,,
T,1/25/2024 6:04,24.85064167,67.00510833,1.6,0.8,,1.24,148,21,36,,
T,1/25/2024 6:04,24.85063,67.005115,1.6,0.6,,1.231,165,21,36,,
T,1/25/2024 6:04,24.85061833,67.00512,1.6,0.4,,1.244,168,21,36,,
T,1/25/2024 6:04,24.85060667,67.005125,1.6,0.4,,1.222,160,21,36,,
T,1/25/2024 6:04,24.85059333,67.00512833,1.7,0.4,,1.236,173,21,36,,
T,1/25/2024 6:04,24.850585,67.00513,1.7,0.5,,1.225,180,21,36,,
T,1/25/2024 6:04,24.85057333,67.00513,1.7,0.4,,1.204,186,21,36,,
T,1/25/2024 6:04,24.850565,67.00513,1.7,0.6,,1.205,189,21,36,,
T,1/25/2024 6:04,24.85055167,67.00512667,1.7,0.6,,1.269,188,21,36,,
T,1/25/2024 6:04,24.85053833,67.005125,1.8,0.6,,1.271,180,21,36,,
T,1/25/2024 6:04,24.85053,67.005125,1.8,0.8,,1.218,177,21,36,,
T,1/25/2024 6:04,24.85052167,67.005125,1.8,1.1,,1.186,176,21,36,,
T,1/25/2024 6:04,24.850515,67.00512833,1.8,1.2,,1.109,170,21,36,,
T,1/25/2024 6:04,24.85050667,67.00513333,1.8,1.5,,1.061,163,20,36,,
T,1/25/2024 6:04,24.85049667,67.00513833,1.8,1.8,,0.995,163,21,36,,
T,1/25/2024 6:04,24.850495,67.00514,1.9,2,,0.946,170,21,36,,
T,1/25/2024 6:04,24.85049,67.00514167,1.9,2.3,,0.887,175,21,36,,
T,1/25/2024 6:04,24.850485,67.00514667,1.9,2.6,,0.806,162,21,36,,
T,1/25/2024 6:04,24.85048,67.00515167,1.9,2.8,,0.684,161,20,36,,
T,1/25/2024 6:04,24.85046833,67.00515333,1.9,3.3,,0.616,176,20,36,,
T,1/25/2024 6:04,24.85045833,67.00516,2,3.6,,0.606,172,20,36,,
T,1/25/2024 6:04,24.85045167,67.00516333,2,3.9,,0.567,180,20,36,,
T,1/25/2024 6:04,24.85044833,67.00516667,2.1,4.1,,0.538,165,20,36,,
T,1/25/2024 6:04,24.85044667,67.00516667,2.2,4.2,,0,,20,36,,
T,1/25/2024 6:04,24.85044,67.00516667,2.2,4.2,,0,,20,36,,
T,1/25/2024 6:04,24.85043667,67.00516833,2.3,4.2,,0,,20,36,,
T,1/25/2024 6:04,24.850435,67.00516833,2.5,4.2,,0,,20,36,,
T,1/25/2024 6:04,24.85043667,67.00516833,2.6,4.2,,0,,20,36,,
T,1/25/2024 6:04,24.85044,67.00516833,2.7,4.3,,0,,19,36,,
T,1/25/2024 6:04,24.850455,67.00517,3,4.4,,0,,19,36,,
T,1/25/2024 6:04,24.85048833,67.00517667,3.3,4.6,,0,,19,36,,
T,1/25/2024 6:05,24.85052167,67.00518,3.7,4.9,,0,,17,36,,
T,1/25/2024 6:05,24.85056833,67.005195,3.9,5.1,,0,,18,36,,
T,1/25/2024 6:05,24.85061,67.00520833,4.1,5.4,,0,,18,36,,
T,1/25/2024 6:05,24.85064,67.00521667,4.3,5.6,,0,,17,36,,
T,1/25/2024 6:05,24.850625,67.00521333,4.4,5.8,,0,,16,36,,
T,1/25/2024 6:05,24.85066333,67.00524,4.1,6.1,,0,,14,36,,
T,1/25/2024 6:05,24.850665,67.00525667,4.1,6.3,,0,,14,36,,
T,1/25/2024 6:05,24.85066667,67.00526333,4.1,6.5,,2.052,110,14,36,,
T,1/25/2024 6:05,24.85068167,67.00527167,4,6.7,,1.968,83,15,36,,
T,1/25/2024 6:05,24.85066,67.00527833,4,7,,1.781,109,14,36,,
